regulator,MOS (M-),GLS (M-),GLS (M+),ALS (M-),MOS (M+),ALS (M+)
FOXN3,4.77660739056689,-2.48743870824711,-4.61667218381045,2.39631711389348,1.71440187333938,-1.50691834442153
SOX21,-3.4925399896502,3.61994321636124,3.98843501705359,-1.8987625943998,-3.23244370756729,-2.61418240508951
BAZ2A,-0.882158333423004,2.8115837930127,1.32042724079868,0.367253860405866,-2.37341241356115,-0.611486224748861
BAZ1A,-1.35406843410079,3.59197243186783,3.91083612006847,-2.86472686217684,0.14126830440297,-3.12086964271001
LZTS1,3.00935697185247,-2.04927233067222,-4.50229886064935,2.14394792834288,1.64892014524659,-1.91770826568351
ZNF277,0.827278059413574,-3.8387926295614,0.9873967083729,-2.1656299342761,1.8300230050352,1.74459746059345
ZHX1,1.1473096945606,-1.63146463370088,-1.11527143375984,-0.555037662735638,0.915710473975551,1.50707456705927
SP140,7.49837796427431,-4.69818155601937,-8.51929684688713,0.25520081173623,7.25727883981077,-6.51560159064885
KLF12,3.44998662762196,-2.04099288225462,-4.27314405989067,2.93942184840264,1.82023379788576,-1.71181126878905
KLF8,3.07913874229599,0.577973374313019,-3.8894849726035,3.87744677745732,1.04964635125624,-1.63016824853501
POU6F2,-1.37464115852013,-2.31072680469747,-6.81661676089383,4.54342449296996,-4.56515618014548,7.00867436851081
RBPJL,-5.30404982175436,-6.20259458093064,-9.01642048214451,12.1434755617166,-6.19386845173777,-1.80152906256489
ZNF257,3.27874821976366,-1.79181133882128,-4.73960198754291,1.55455524025981,2.39938009163947,-2.00478553338056
ZIM3,1.22625051567548,0.985591303346017,-0.740141676935307,0.729450033326904,0.471513286059164,-1.00575413629121
ZNF618,-0.691618711094597,-1.25429320343325,-2.95460872567082,2.83426553729196,-2.44874355379449,3.99338399049615
ZNF554,1.60128132064195,-1.30808447422059,-3.02050834499238,3.33183709848331,-0.966316354755067,1.31525942568091
ZNF689,0.292636550738989,-1.56947792738635,-3.00272815322432,3.28075174725918,-0.403409565132433,1.93491024870799
ZNF501,1.45192194945134,-0.286984028931967,-1.51292974624305,1.619171693871,-0.360440150943951,-0.134049907266652
ZNF653,-1.69575577388253,0.632431383066725,2.23663006975705,-2.18041366426521,-0.430128556304507,1.19977482413638
BATF2,-2.46109269978507,2.10176646782371,2.29475073304853,-1.41478194417621,-2.62966411682733,0.843986737363776
FOXP4,-3.3387726531507,3.47968128346976,2.30251844610768,2.02173978874228,-3.8526737647322,0.922852926496868
ZNF526,-1.47238829641803,1.15907903077933,1.40955037901042,1.1785613096077,-0.966982412486938,-0.171771512496004
ZMYND19,-2.36559144043743,-0.430500416026248,3.08622619846373,-3.029567408704,0.968276711083166,0.491994183242608
ZNF837,-1.00742549112007,-0.416709568873992,-1.16805288764985,1.53259372391073,-0.284747505497066,1.3437607491534
OLIG1,0.0514950782329472,-0.223674821850867,-1.18562996979789,0.561412100661266,0.812886718690097,0.883211389411696
TWIST2,2.740051695152,-1.55293293221008,-4.79482734650463,3.22744044457836,1.87745736584696,0.447840811242558
ZNF354B,1.23654137015761,1.31821483731321,-0.356800449750455,1.56320758668742,-0.445614387738174,-1.0894735959216
ZNF511,-3.00457938811536,-0.00936951854388739,3.26635130938382,-3.46492533191196,0.584768036013099,1.4009024787181
ZNF488,-5.70486446907404,9.67774520037961,7.49004769885715,0.231884801674249,-8.41265469427381,-6.19320013161549
ZFYVE27,-2.44339691792351,2.181964529616,1.86951971580641,1.56215875654367,-2.47289636141263,1.11307204811034
DBX1,-0.6502142178101,0.501662951025526,0.69263207632992,-0.419441376926783,-0.209780592470786,-0.218028894930355
ZNF641,3.2572648515035,-0.0955290964425435,-3.54385514999587,3.46852042128994,-0.92544160978284,-0.0290338919987113
SP7,0.795418282186992,0.812527531519783,-0.618203186924177,0.885204391598999,0.0284322351903059,-0.177248745030925
AEBP2,0.351044245513351,-1.25762707311964,0.367801258653185,-1.56629264501047,1.18943998905161,0.344473432274944
ASCL4,0.60341241715881,-0.178430932243942,-0.475319939559487,-0.173580980059221,-0.0601827687196301,-0.704050868506347
SPIC,0.932543067497924,0.561729097757916,-1.24070920830521,0.731318929748271,0.972432286341045,-0.939452502776884
FOXN4,1.01291191363421,0.175465773690827,-0.65602490211061,0.911115164404848,0.138976760508162,-1.5518294275092
JDP2,2.49197920266935,0.150958610009831,-1.96902972536586,2.18678145498532,0.729411688173845,-3.46210179134138
ZC3H18,-1.9725415165433,1.27053158848573,2.122359461462,-0.536565340297031,-0.210772113412899,-1.20567754193197
ZNF720,-2.97358298346189,-3.2584502032106,-7.34788413927862,12.0850674381983,-4.51729508256775,-1.84145766588807
HSF5,3.10825153458426,-0.683491625917354,-4.35792322410447,1.82341384941331,2.27930699834628,-1.75123082441896
ZFP3,3.29681891613643,-3.78669952046013,-5.80003299291471,4.49498016180786,0.842837501040136,2.94480590083732
ZSWIM7,1.53406918944329,-2.80039349730933,-5.43780281963808,2.00871403546153,0.816132437207204,3.96821911170874
ZNF816,-0.638242579741783,0.823234098367217,1.43994561740959,1.04595845268901,-1.46055022112857,1.36658219444693
ZNF543,0.848130410492029,-0.681354892905238,-0.740887813424483,1.76877876106422,-0.107945159308192,0.203184102533152
ZNF813,0.479305848816014,0.186313086126145,-0.637712728568877,0.719959060749123,-0.764206850312387,0.365445467825981
ZNF441,3.23815926399628,-1.40884810909993,-3.90646671805821,3.11657895784388,0.887807936887784,1.27750945700434
ZNF491,1.94639123100167,0.321129547681212,-3.32692022961733,3.03263246928041,-0.584412430376567,0.26105723850528
ZNF440,-2.43684303314356,3.35579653069842,3.49330233414321,-1.44278348603165,-2.96650124121867,-1.42832335612188
ZNF787,-1.89663396629333,0.545087456146505,2.04244625445619,-0.897277342533137,0.243197032199016,-0.0549791847550671
ZNF573,0.944139556180156,0.288992703863419,-1.76164356647166,1.66123502501692,-0.812470960432906,0.511567111439755
ZNF57,-4.13974405629259,3.24023098275135,5.12833604131368,-2.75027568655401,-3.28698271383446,-0.956317801631586
ZNF428,1.03479773053299,-2.51004174285673,-2.72940338125583,-0.385331432951526,1.35901837204346,1.44894843025817
ZNF792,-1.29845516857731,0.701988830940203,-0.171199515667835,1.01231045255875,-0.882849841504519,-0.209133344980134
GABPB2,-1.39636832958105,1.65550952345024,1.33274224043297,3.10417009565772,-1.97201405542246,-2.12995417604916
DMBX1,0.467025577565838,2.21895124114893,2.69922090419081,-0.923633887554095,-1.23697588470738,-1.95443106121425
ZNF684,-1.42898275754958,-1.29741540419231,-2.38258918206752,1.86333968814272,-1.86459999902983,2.976061267764
TCEANC2,0.757033871197376,-1.52118226469473,-1.30380361745506,1.09074546820861,2.89136128329173,-1.02848949260934
ZNF648,-0.514892187315723,0.683836855929614,0.0893714353510243,0.790971605166954,-1.2636167234362,-1.4527936850206
KLF17,5.25733570998878,-2.29617352150976,-4.66066485731516,1.09093140389851,3.73462674614364,-4.45162177482983
